Geneid	Chr	Start	End	Strand	Length	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_1_alignment.sam	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_2_alignment.sam
FBgn0176796	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12215274;12215833;12216242;12216683;12216821;12217611	12215406;12216179;12216548;12216756;12216920;12217735	+;+;+;+;+;+	1086	1729	1691
FBgn0176797	scaffold_1;scaffold_1;scaffold_1	12226806;12227761;12228399	12226860;12228267;12228724	+;+;+	888	16	17
FBgn0176798	scaffold_1;scaffold_1;scaffold_1;scaffold_1	12231095;12231889;12232025;12232264	12231215;12231956;12232187;12232364	+;+;+;+	453	545	533
FBgn0176799	scaffold_1	12246755	12247705	+	951	137	134
FBgn0176800	scaffold_1	12259662	12259979	+	318	0	1
FBgn0176801	scaffold_1;scaffold_1	12261253;12261428	12261369;12261673	+;+	363	40	47
FBgn0176802	scaffold_1	12348860	12349186	+	327	39	37
FBgn0176803	scaffold_1;scaffold_1;scaffold_1	12349250;12349977;12351445	12349866;12351212;12351934	+;+;+	2343	451	452
FBgn0176804	scaffold_1;scaffold_1;scaffold_1;scaffold_1	12366785;12367249;12367777;12369410	12367180;12367709;12369206;12370269	+;+;+;+	3147	316	301
FBgn0176805	scaffold_1;scaffold_1;scaffold_1	12371355;12371538;12372309	12371467;12372090;12372905	+;+;+	1263	0	0
FBgn0176806	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12387679;12388774;12390681;12390921;12391994	12387813;12388909;12390823;12391931;12392731	+;+;+;+;+	2163	719	715
FBgn0176807	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12393391;12394876;12398536;12399770;12401484;12401994;12402323;12402473	12393402;12395564;12398814;12400552;12401643;12402134;12402399;12402686	+;+;+;+;+;+;+;+	2355	1615	1563
FBgn0176809	scaffold_1;scaffold_1	12453630;12453746	12453666;12454884	+;+	1176	264	252
FBgn0176810	scaffold_1;scaffold_1;scaffold_1	12530247;12530932;12531118	12530474;12531057;12533682	+;+;+	2919	244	246
FBgn0176811	scaffold_1;scaffold_1;scaffold_1	12539672;12540097;12540279	12539757;12540215;12541309	+;+;+	1236	1508	1487
FBgn0176812	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12555988;12559232;12559615;12560309;12560664;12561457;12561676;12561956;12562140	12556424;12559553;12559847;12560522;12561389;12561615;12561897;12562073;12562168	+;+;+;+;+;+;+;+;+	2460	426	432
FBgn0176813	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12570920;12571546;12572477;12572643;12573025;12573760;12574032;12574665;12574901;12575206;12576519;12576747;12576918;12577273	12571408;12571668;12572578;12572822;12573201;12573971;12574449;12574691;12575107;12575572;12576678;12576854;12577073;12577321	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2775	2601	2503
FBgn0176814	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12582213;12614099;12618717;12619071;12620091;12620465;12623088;12626250;12626644;12626835;12627254;12627759;12628041;12628234	12582338;12614519;12618815;12619369;12620178;12620528;12623126;12626583;12626770;12627188;12627697;12627980;12628167;12628333	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2844	1020	952
FBgn0176815	scaffold_1	12629587	12630657	+	1071	107	106
FBgn0176816	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12637629;12637858;12638362;12638580;12639037;12639416;12640239;12640469;12640868;12644257;12644561;12644778;12645141;12645326	12637775;12638303;12638514;12638938;12639158;12639529;12640401;12640521;12643882;12644478;12644662;12644933;12645251;12645391	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5229	3945	3844
FBgn0176817	scaffold_1;scaffold_1	12651882;12652366	12652157;12652863	+;+	774	25	26
FBgn0176818	scaffold_1;scaffold_1	12662209;12662266	12662211;12664266	+;+	2004	0	1
FBgn0176819	scaffold_1	12689267	12689482	+	216	0	0
FBgn0176820	scaffold_1	12689569	12689937	+	369	0	0
FBgn0176821	scaffold_1	12690460	12691134	+	675	0	0
FBgn0176822	scaffold_1;scaffold_1;scaffold_1	12691502;12691701;12691833	12691538;12691771;12692051	+;+;+	327	1381	1370
FBgn0176823	scaffold_1;scaffold_1;scaffold_1	12700458;12703976;12704243	12702063;12704179;12704937	+;+;+	2505	632	606
FBgn0176824	scaffold_1	12706570	12708453	+	1884	1341	1345
FBgn0176825	scaffold_1;scaffold_1;scaffold_1;scaffold_1	12732872;12733785;12735717;12735914	12732887;12733912;12735770;12736144	+;+;+;+	429	1	1
FBgn0176826	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12743087;12743572;12744015;12744253;12744560;12744784;12745247	12743374;12743955;12744193;12744429;12744706;12745047;12745349	+;+;+;+;+;+;+	1542	1	1
FBgn0176827	scaffold_417	9135	9545	-	411	0	0
FBgn0176828	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12759025;12759769;12760492;12760912;12761378;12761600;12761994;12762151;12762316;12762565;12762719	12759129;12760427;12760852;12761299;12761536;12761928;12762093;12762253;12762508;12762657;12762886	+;+;+;+;+;+;+;+;+;+;+	2658	129	127
FBgn0176829	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12764915;12765663;12766667;12767021;12767227;12767489	12765600;12766595;12766964;12767164;12767429;12767939	+;+;+;+;+;+	2715	0	0
FBgn0176830	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12776564;12777683;12778412;12778825;12779453;12779697;12779904;12780067;12780522	12776569;12778350;12778769;12779389;12779637;12779840;12780003;12780461;12780689	+;+;+;+;+;+;+;+;+	2589	4561	4418
FBgn0176831	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12782284;12782363;12783120;12783263;12783447;12783653;12784088;12784434;12784574;12784779;12785328	12782304;12783057;12783204;12783383;12783601;12784036;12784383;12784503;12784720;12785264;12785489	+;+;+;+;+;+;+;+;+;+;+	2622	23	20
FBgn0176832	scaffold_1;scaffold_1	12786787;12786903	12786807;12787136	+;+	255	0	0
FBgn0176833	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12787314;12787682;12787811;12787992;12788210;12788520;12788655;12788997;12789287;12789535	12787596;12787743;12787931;12788146;12788407;12788599;12788724;12789197;12789475;12789696	+;+;+;+;+;+;+;+;+;+	1521	0	0
FBgn0176834	scaffold_1;scaffold_1	12790496;12791860	12791805;12792157	+;+	1608	135	140
FBgn0176835	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12829561;12829863;12830146;12830384;12830530;12830714;12830891;12831190;12831483;12831936;12832753;12832848;12833048;12833333;12833721	12829734;12829907;12830322;12830460;12830654;12830834;12831131;12831420;12831875;12832054;12832795;12832989;12833275;12833662;12833806	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2532	3068	2983
FBgn0176836	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12841482;12841917;12842100;12842295;12842808;12842936;12843163;12843391;12843705;12843956;12844738	12841853;12842041;12842237;12842745;12842878;12843102;12843335;12843644;12843900;12844679;12845303	+;+;+;+;+;+;+;+;+;+;+	3237	841	828
FBgn0176837	scaffold_1;scaffold_1;scaffold_1;scaffold_1	12846004;12846138;12846321;12846774	12846009;12846260;12846618;12846961	+;+;+;+	615	5731	5372
FBgn0176838	scaffold_1;scaffold_1;scaffold_1;scaffold_1	12847753;12847987;12848174;12848370	12847930;12848118;12848302;12848536	+;+;+;+	606	1678	1646
FBgn0176839	scaffold_1;scaffold_1;scaffold_1;scaffold_1	12855925;12856082;12856757;12857463	12856025;12856450;12857411;12858383	+;+;+;+	2046	82	76
FBgn0176840	scaffold_1;scaffold_1	12861282;12861707	12861648;12862335	+;+	996	5	5
FBgn0176841	scaffold_1;scaffold_1	12863108;12864794	12863773;12864811	+;+	684	24	23
FBgn0176842	scaffold_1	12867715	12867969	+	255	6	5
FBgn0176843	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12874990;12876579;12876854;12877193;12877536;12878797;12878974;12879440;12879613;12879805;12880490;12883650;12884761;12888990;12889206;12889386	12876324;12876794;12877074;12877474;12877720;12878909;12879157;12879554;12879740;12879967;12880603;12883720;12884884;12889139;12889324;12889444	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3579	2675	2627
FBgn0176844	scaffold_1	12889514	12889981	+	468	686	686
FBgn0176845	scaffold_1;scaffold_1;scaffold_1	12898246;12898361;12899504	12898294;12899446;12899910	+;+;+	1542	497	480
FBgn0176846	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	12903864;12904221;12905709;12905991;12906200	12904128;12904399;12905880;12906140;12906360	+;+;+;+;+	927	208	197
FBgn0176847	scaffold_1	12909283	12910098	+	816	213	221
FBgn0176848	scaffold_1;scaffold_1	12915126;12915936	12915884;12916394	+;+	1218	0	0
FBgn0176849	scaffold_1	12916715	12918418	+	1704	1	1
FBgn0176850	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13000503;13001248;13001459;13002405;13003227	13001173;13001401;13002352;13003169;13003340	+;+;+;+;+	2598	15	17
FBgn0176851	scaffold_1;scaffold_1	13038802;13039396	13039014;13039464	+;+	282	16	19
FBgn0176852	scaffold_1	13039886	13040038	+	153	5	4
FBgn0176853	scaffold_1	13045171	13045746	+	576	0	0
FBgn0176854	scaffold_1;scaffold_1;scaffold_1;scaffold_1	13060048;13060857;13061099;13061341	13060054;13061017;13061271;13061761	+;+;+;+	762	17	15
FBgn0176855	scaffold_1;scaffold_1	13064769;13064876	13064822;13065775	+;+	954	2	1
FBgn0176856	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13072912;13073518;13074062;13074454;13074821	13073306;13074007;13074397;13074757;13074969	+;+;+;+;+	1674	274	272
FBgn0176857	scaffold_1	13092830	13093003	+	174	0	0
FBgn0176858	scaffold_1;scaffold_1	13099751;13100021	13099810;13100380	+;+	420	59	55
FBgn0176859	scaffold_1;scaffold_1	13116194;13116429	13116366;13116693	+;+	438	0	0
FBgn0176860	scaffold_1;scaffold_1	13193363;13193477	13193416;13193827	+;+	405	12	13
FBgn0176861	scaffold_1	13204618	13208952	+	4335	81	90
FBgn0176862	scaffold_1;scaffold_1	13245636;13245754	13245695;13246116	+;+	423	0	0
FBgn0176863	scaffold_1	13317196	13317480	+	285	30	28
FBgn0176864	scaffold_1;scaffold_1	13321039;13321110	13321059;13321433	+;+	345	0	0
FBgn0176865	scaffold_1;scaffold_1;scaffold_1	13346787;13347390;13347596	13347181;13347533;13348565	+;+;+	1509	153	155
FBgn0176866	scaffold_1;scaffold_1;scaffold_1	13357353;13358189;13358678	13358125;13358298;13358766	+;+;+	972	0	0
FBgn0176867	scaffold_1	13561153	13565316	+	4164	286	265
FBgn0176868	scaffold_3265	80	2644	+	2565	0	0
FBgn0176869	scaffold_1;scaffold_1;scaffold_1;scaffold_1	13595109;13595177;13595467;13596008	13595121;13595408;13595677;13596199	+;+;+;+	648	354	355
FBgn0176870	scaffold_1	13657038	13657211	+	174	0	0
FBgn0176871	scaffold_1;scaffold_1	13666366;13667469	13666431;13667576	+;+	174	0	0
FBgn0176872	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13685951;13686103;13686891;13687197;13687603;13688227	13686038;13686242;13687139;13687541;13688016;13688505	+;+;+;+;+;+	1515	122	119
FBgn0176873	scaffold_1	13688751	13688942	+	192	0	0
FBgn0176874	scaffold_1	13689306	13689548	+	243	0	0
FBgn0176875	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13718561;13718848;13719402;13720594;13721211	13718787;13719349;13720544;13721146;13722211	+;+;+;+;+	3426	2	2
FBgn0176876	scaffold_1;scaffold_1	13723045;13724147	13723643;13724327	+;+	780	6	5
FBgn0176877	scaffold_1;scaffold_1	13741030;13741244	13741068;13741804	+;+	600	3	3
FBgn0176878	scaffold_1	13770731	13772305	+	1575	2	2
FBgn0176879	scaffold_1;scaffold_1	13773209;13775074	13773418;13777008	+;+	2145	654	641
FBgn0176880	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13778468;13778620;13778755;13778965;13779172	13778488;13778697;13778906;13779143;13779398	+;+;+;+;+	657	782	780
FBgn0176881	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13781610;13781878;13782665;13782828;13783649;13783887	13781685;13782500;13782756;13783194;13783822;13784024	+;+;+;+;+;+	1470	1703	1634
FBgn0176882	scaffold_1;scaffold_1	13795962;13796358	13796304;13796521	+;+	507	64	59
FBgn0176883	scaffold_13033;scaffold_13033	31;611	512;1091	-;-	963	9	8
FBgn0176884	scaffold_1;scaffold_1;scaffold_1;scaffold_1	13797737;13797880;13798019;13798463	13797824;13797966;13798360;13799646	+;+;+;+	1701	31	28
FBgn0176885	scaffold_1	13800984	13801247	+	264	0	0
FBgn0176886	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13873411;13875762;13903576;13906058;13907897;13908640;13908945;13909672;13910840;13911629;13912218;13912814;13913471;13913967;13914397	13873552;13875782;13903708;13906263;13908010;13908849;13909096;13909816;13910970;13911788;13912432;13912895;13913630;13914220;13914599	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2328	1627	1557
FBgn0176887	scaffold_1;scaffold_1;scaffold_1;scaffold_1	13915762;13916073;13917786;13919907	13915978;13916332;13918025;13920662	+;+;+;+	1473	592	560
FBgn0176888	scaffold_1;scaffold_1	13947046;13947162	13947099;13947557	+;+	450	12929	12747
FBgn0176889	scaffold_1;scaffold_1	13947645;13947766	13947707;13948128	+;+	426	2724	2711
FBgn0176890	scaffold_1;scaffold_1	13948547;13948662	13948609;13949108	+;+	510	279	281
FBgn0176891	scaffold_1;scaffold_1;scaffold_1	13964631;13964867;13965396	13964780;13964992;13965518	+;+;+	399	0	0
FBgn0176892	scaffold_1	13969490	13969948	+	459	8	8
FBgn0176893	scaffold_1;scaffold_1	13976342;13976472	13976402;13976605	+;+	195	188	184
FBgn0176894	scaffold_1;scaffold_1	13977484;13977609	13977550;13978282	+;+	741	8682	8506
FBgn0176895	scaffold_1;scaffold_1	13979503;13980103	13980045;13980990	+;+	1431	5	4
FBgn0176896	scaffold_1;scaffold_1;scaffold_1	13998960;14000051;14000358	13999197;14000199;14001107	+;+;+	1137	61	55
FBgn0176897	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	14037637;14037827;14039564;14040465;14040609;14046445	14037732;14037883;14039607;14040537;14040704;14047116	+;+;+;+;+;+	1038	13557	13575
FBgn0176898	scaffold_1	14047486	14047677	+	192	6369	6359
FBgn0176899	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	14060225;14060478;14060803;14061002;14061599;14061951;14062121	14060410;14060742;14060949;14061538;14061754;14062057;14062261	+;+;+;+;+;+;+	1539	620	599
FBgn0176900	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	14065116;14065281;14065536;14065726;14067579	14065217;14065475;14065675;14067182;14069680	+;+;+;+;+	3996	311	299
FBgn0176901	scaffold_1;scaffold_1;scaffold_1	14077928;14078632;14079039	14078564;14078981;14079782	+;+;+	1731	56	56
FBgn0176902	scaffold_1;scaffold_1	14082545;14082640	14082577;14083005	+;+	399	787	793
FBgn0176903	scaffold_1;scaffold_1	14083296;14083459	14083389;14083880	+;+	516	200	185
FBgn0176904	scaffold_7957	99	410	+	312	0	0
FBgn0176905	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	14085895;14086053;14086503;14087151;14087376	14085995;14086442;14087092;14087305;14087441	+;+;+;+;+	1302	336	333
FBgn0176906	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	14098872;14099912;14100582;14101168;14101372;14101516	14099267;14100538;14101100;14101314;14101457;14102098	+;+;+;+;+;+	2358	388	383
FBgn0176907	scaffold_1;scaffold_1;scaffold_1	14103355;14103650;14103927	14103490;14103868;14104021	+;+;+	450	603	591
FBgn0176908	scaffold_1;scaffold_1;scaffold_1;scaffold_1	14112763;14113123;14113461;14113673	14113057;14113235;14113611;14113770	+;+;+;+	657	598	581
FBgn0176909	scaffold_1;scaffold_1	14134692;14134857	14134764;14135467	+;+	684	1	0
FBgn0176910	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	14140574;14166368;14174477;14174625;14181186;14181407;14182746;14183622	14140658;14166534;14174554;14174757;14181305;14181503;14182843;14183977	+;+;+;+;+;+;+;+	1134	228	233
FBgn0176911	scaffold_1;scaffold_1;scaffold_1	14186282;14186398;14187386	14186342;14186957;14187508	+;+;+	744	4	5
FBgn0176912	scaffold_1;scaffold_1	14187990;14188109	14188047;14189070	+;+	1020	0	0
FBgn0176913	scaffold_1;scaffold_1	14208492;14208621	14208546;14208925	+;+	360	0	0
FBgn0176914	scaffold_1	14208997	14209878	+	882	0	0
FBgn0176915	scaffold_5855;scaffold_5855	89;914	156;1472	+;+	627	1	0
FBgn0176916	scaffold_105;scaffold_105;scaffold_105;scaffold_105;scaffold_105;scaffold_105;scaffold_105;scaffold_105	36016;42260;49540;53146;54229;54477;62490;62783	36145;42731;50300;53330;54424;54689;62720;62931	+;+;+;+;+;+;+;+	2337	2427	2397
FBgn0176917	scaffold_105;scaffold_105	67446;68144	67458;68736	+;+	606	14	14
FBgn0176918	scaffold_105	69070	69591	+	522	11	12
FBgn0176919	scaffold_417;scaffold_417	5728;5977	5919;6102	-;-	318	0	0
FBgn0176920	scaffold_9440	929	1465	-	537	0	0
FBgn0176922	scaffold_2197	4709	5032	-	324	0	0
FBgn0176923	scaffold_7919;scaffold_7919	214;776	702;1033	+;+	747	63	61
FBgn0176924	scaffold_2197;scaffold_2197	1405;3497	1503;3958	-;-	561	0	0
FBgn0176925	scaffold_456	9334	9789	-	456	0	0
FBgn0176926	scaffold_456	4749	5699	-	951	0	0
FBgn0176927	scaffold_456	635	886	-	252	0	0
FBgn0176928	scaffold_3462	19	258	-	240	0	0
FBgn0176930	scaffold_2326	4385	4786	-	402	0	0
FBgn0176933	scaffold_9093;scaffold_9093	177;1203	1144;1377	-;-	1143	0	0
FBgn0176934	scaffold_11546	480	641	-	162	0	0
FBgn0176935	scaffold_1721;scaffold_1721;scaffold_1721	883;1314;1799	1249;1745;1842	-;-;-	843	1	0
FBgn0176936	scaffold_1721	328	690	+	363	222	175
FBgn0176937	scaffold_2418;scaffold_2418;scaffold_2418	59;228;457	164;396;676	+;+;+	495	94	96
FBgn0176938	scaffold_6284;scaffold_6284	1422;1542	1475;1694	+;+	207	0	0
FBgn0176939	scaffold_1037	1418	2371	-	954	10	22
FBgn0176940	scaffold_7674;scaffold_7674	123;710	618;783	-;-	570	0	0
FBgn0176941	scaffold_11;scaffold_11	2849921;2850068	2849961;2850461	-;-	435	2	0
FBgn0176942	scaffold_370	1184	1882	+	699	1	0
FBgn0176943	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	2768422;2768980;2770313;2771300;2771787;2772365	2768519;2770246;2771238;2771725;2771917;2772372	-;-;-;-;-;-	2856	480	465
FBgn0176944	scaffold_11;scaffold_11;scaffold_11;scaffold_11	2762965;2763229;2763548;2763721	2763129;2763354;2763657;2763868	-;-;-;-	549	3998	3923
FBgn0176945	scaffold_11;scaffold_11;scaffold_11	2761428;2761795;2761981	2761742;2761924;2762036	-;-;-	501	653	646
FBgn0176946	scaffold_11;scaffold_11;scaffold_11	2750253;2750988;2751238	2750939;2751179;2751441	-;-;-	1083	4	4
FBgn0176949	scaffold_11	2730010	2730300	-	291	10	10
FBgn0176950	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	2706910;2707303;2708174;2708623;2709128;2709225;2710226	2707251;2707857;2708562;2708820;2709137;2710160;2710690	-;-;-;-;-;-;-	2895	321	313
FBgn0176951	scaffold_11;scaffold_11;scaffold_11;scaffold_11	2652992;2653164;2653550;2654414	2653103;2653354;2654346;2655071	-;-;-;-	1758	293	289
FBgn0176952	scaffold_11;scaffold_11;scaffold_11;scaffold_11	2648536;2648813;2650290;2652155	2648640;2649887;2650614;2652176	-;-;-;-	1527	47	45
FBgn0176953	scaffold_11;scaffold_11	2640414;2641399	2641347;2641583	-;-	1119	225	212
FBgn0176954	scaffold_11	2634586	2635356	-	771	1	1
FBgn0176955	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	2628714;2628914;2629815;2630063;2630331;2630735	2628859;2629757;2629967;2630179;2630654;2630815	-;-;-;-;-;-	1665	891	839
FBgn0176956	scaffold_11;scaffold_11	2605444;2605768	2605711;2605829	-;-	330	0	0
FBgn0176957	scaffold_11	2603579	2603890	-	312	0	0
FBgn0176958	scaffold_11	2601984	2602343	-	360	0	0
FBgn0176959	scaffold_11;scaffold_11	2596302;2596874	2596808;2596951	-;-	585	0	0
FBgn0176960	scaffold_11;scaffold_11;scaffold_11	2561346;2561560;2562493	2561504;2561883;2562717	-;-;-	708	0	0
FBgn0176961	scaffold_11;scaffold_11;scaffold_11	2496988;2498034;2498634	2497307;2498378;2498667	-;-;-	699	1	0
FBgn0176962	scaffold_11;scaffold_11;scaffold_11	2432182;2433161;2433832	2432945;2433613;2434366	-;-;-	1752	1	2
FBgn0176964	scaffold_11	2389317	2390330	-	1014	10	12
FBgn0176965	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	2224248;2226662;2231501;2231769;2232405;2232952;2233669;2234747;2236265;2269615;2279165;2282945;2336576;2338915	2226539;2229989;2231708;2232314;2232816;2233235;2234469;2235628;2236909;2269794;2279209;2283001;2336989;2338939	-;-;-;-;-;-;-;-;-;-;-;-;-;-	10119	314	315
FBgn0176966	scaffold_11;scaffold_11	2213156;2215422	2215356;2216601	-;-	3381	600	585
FBgn0176967	scaffold_11	2189637	2190107	-	471	259	239
FBgn0176968	scaffold_11;scaffold_11	2181866;2184320	2184097;2186374	-;-	4287	696	665
FBgn0176970	scaffold_11	2003806	2004192	-	387	115	104
FBgn0176971	scaffold_11;scaffold_11	2001873;2002006	2001957;2002940	-;-	1020	1073	1019
FBgn0176972	scaffold_11;scaffold_11;scaffold_11;scaffold_11	1995690;1995820;1997268;1998662	1995762;1997104;1998054;1999405	-;-;-;-	2889	888	822
FBgn0176973	scaffold_11	1950519	1952120	-	1602	0	0
FBgn0176974	scaffold_417	4293	4703	-	411	0	0
FBgn0176975	scaffold_11;scaffold_11;scaffold_11	1859298;1861097;1861647	1861038;1861593;1862078	-;-;-	2670	24	22
FBgn0176976	scaffold_11;scaffold_11	1756274;1756425	1756344;1756491	-;-	138	18	17
FBgn0176977	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	1751772;1752062;1752497;1752777;1753026;1753346;1753929	1752006;1752429;1752719;1752964;1753197;1753819;1753993	-;-;-;-;-;-;-	1725	6710	6500
FBgn0176978	scaffold_11;scaffold_11;scaffold_11	1745020;1745194;1745950	1745136;1745890;1746500	-;-;-	1365	291	280
FBgn0176979	scaffold_11;scaffold_11	1741820;1742045	1741978;1742143	-;-	258	206	196
FBgn0176980	scaffold_11;scaffold_11;scaffold_11	1684497;1684695;1685110	1684604;1684826;1685130	-;-;-	261	1	1
FBgn0176981	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	1661762;1661898;1662332;1662720;1663196;1670188;1671076	1661845;1662266;1662526;1663012;1663405;1670672;1671317	-;-;-;-;-;-;-	1878	571	531
FBgn0176982	scaffold_11	1658580	1659389	-	810	265	252
FBgn0176983	scaffold_11	1654896	1655396	-	501	50	54
FBgn0176984	scaffold_11	1652904	1653488	-	585	325	321
FBgn0176985	scaffold_11	1647539	1648054	-	516	1	0
FBgn0176986	scaffold_11	1645245	1645832	-	588	1	1
FBgn0176987	scaffold_11	1644129	1644815	-	687	0	0
FBgn0176988	scaffold_11;scaffold_11;scaffold_11	1639332;1639988;1640561	1639928;1640383;1641136	-;-;-	1569	300	291
FBgn0176989	scaffold_11;scaffold_11;scaffold_11;scaffold_11	1607314;1608016;1611264;1618510	1607432;1608267;1611407;1620115	-;-;-;-	2121	45	51
FBgn0176990	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	1587899;1588182;1588392;1589590;1590307	1588122;1588333;1589528;1590208;1592632	-;-;-;-;-	4458	606	584
FBgn0176991	scaffold_11;scaffold_11	1580898;1582246	1581110;1582359	-;-	327	0	0
FBgn0176992	scaffold_11;scaffold_11	1579622;1580090	1580023;1580101	-;-	414	0	0
FBgn0176993	scaffold_11;scaffold_11;scaffold_11;scaffold_11	1542224;1544416;1546391;1547737	1543432;1546322;1547671;1547770	-;-;-;-	4431	558	557
FBgn0176994	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	1535567;1535807;1536038;1536414;1536587;1536918;1538649	1535587;1535977;1536340;1536511;1536856;1537244;1538670	-;-;-;-;-;-;-	1212	197	189
FBgn0176995	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	1527492;1527735;1528341;1529149;1530060;1530799	1527679;1528284;1529080;1530001;1530599;1530957	-;-;-;-;-;-	3030	185	189
FBgn0176996	scaffold_11	1493795	1494262	-	468	0	0
FBgn0176997	scaffold_11	1481420	1482118	-	699	641	626
FBgn0176998	scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11;scaffold_11	1472444;1473053;1473229;1473443;1473651;1473782;1474186;1474444;1474598;1475048	1472569;1473154;1473388;1473587;1473725;1473955;1474385;1474534;1474748;1475215	-;-;-;-;-;-;-;-;-;-	1392	1	1
FBgn0176999	scaffold_11;scaffold_11;scaffold_11	1468905;1468997;1469506	1468939;1469186;1471035	-;-;-	1755	0	0
